i,gender,ht
624,1,157.3
625,2,152.2
626,1,173.8
627,1,170.4
628,1,174.5
629,2,162
630,1,168.7
631,2,165.2
632,1,172.5
633,2,149.6
634,1,178.3
635,1,168.2
636,2,153.7
637,1,168.6
638,2,155.7
639,1,170.5
640,2,161.3
641,2,162.3
642,1,168.9
643,2,158
644,1,167.6
645,2,159
646,2,155.3
647,2,165.1
648,1,167
649,2,154.7
650,1,170.9
651,2,156.3
652,1,170.8
653,2,156.3
654,2,163
655,1,172.2
656,1,166.9
657,2,153.9
658,1,172.1
659,2,159
660,1,183.5
661,2,164.5
662,1,172.8
663,2,165
664,1,169.5
665,2,165.7
666,1,162.1
667,2,163.8
668,1,169.3
669,2,159.3
670,1,176.5
671,1,168.1
672,2,150.6
673,2,172.1
674,1,165.1
675,2,157.3
676,1,173.9
677,2,164.3
678,1,175.2
679,2,158.6
680,2,163
681,1,168.4
682,2,163.8
683,1,177
684,2,153.3
685,1,172.5
686,2,155.6
687,1,172.1
688,2,153.7
689,1,171.2
690,2,148.1
691,2,158
692,1,165.5
693,1,174.3
694,2,162.7
695,1,175.1
696,1,175.1
697,2,157.5
698,2,157.4
699,1,170.5
700,2,156.3
701,2,157.3
702,1,181.2
703,2,159
704,2,165.8
705,2,163
706,1,177
707,2,168.3
708,2,146.8
709,2,161.3
710,1,174.9
711,2,159.6
712,1,171.2
713,2,158.2
714,2,154.5
715,1,173
716,2,159.6
717,2,158.1
718,1,176.8
719,2,166.5
720,2,152.9
721,1,175.3
722,2,154.2
723,1,172.7
724,2,150.6
725,1,168.1
726,2,156.8
727,2,161.5
728,1,163.7
729,2,155
730,1,163.2
731,2,150.9
732,1,169.1
733,2,164.1
734,1,169.1
735,2,152.4
736,1,179.6
737,2,160.9
738,1,172.8
739,2,155.4
740,1,163.2
741,2,150.7
742,1,161.4
743,2,155.5
744,2,155.7
745,1,170.5
746,2,156.4
747,1,166.8
748,2,155.2
749,1,172
750,2,164.2
751,1,171
752,2,159.8
753,1,161.4
754,2,147.1
755,1,165.8
756,2,163.1
757,1,163.7
758,2,149.7
759,1,157.6
760,2,151.7
761,2,147.5
762,2,161.9
763,1,173.1
764,2,171.1
765,1,171.3
766,2,166.9
767,1,162.9
768,2,158.7
769,2,153
770,1,177.9
771,2,159
772,2,160.9
773,1,166.8
774,2,158.2
775,2,161
776,1,172.4
777,2,164.5
778,1,174.5
779,2,165.6
780,1,168.9
781,2,161.4
782,1,172
783,2,159
784,1,161.8
785,2,160
786,1,160.4
787,2,153.8
788,1,161.9
789,2,160.9
790,1,174.8
791,2,164.3
792,1,172.1
793,2,163.1
794,1,165.8
795,2,157.9
796,2,162.9
797,2,151.8
798,2,154.2
799,1,167.4
800,2,158.3
801,1,174.4
802,2,156.9
803,2,151.8
804,2,159.8
805,1,165.2
806,2,160.3
807,1,173.8
808,2,162.8
809,1,164.8
810,2,156.9
811,1,164.5
812,2,156.9
813,2,166.4
814,2,148.1
815,1,170.5
816,2,169.5
817,1,157.4
818,2,151.7
819,2,153.9
820,1,167.6
821,2,154.3
822,2,169.1
823,1,169.1
824,2,152.1
825,2,157.8
826,1,163.4
827,2,159.3
828,1,177.3
829,2,157.5
830,1,176.3
831,2,150.9
832,1,168.2
833,2,163
834,2,157.7
835,1,176.1
836,2,163.6
837,1,165.2
838,2,155.4
839,1,159.1
840,2,159
841,1,161.8
842,2,153.7
843,1,175.3
844,2,167.6
845,1,167.9
846,2,158.9
847,2,166.7
848,1,173.3
849,2,161
850,1,171.6
851,2,159.3
852,1,162.4
853,2,159.9
854,2,149.8
855,1,175.2
856,2,158.5
857,1,158.1
858,2,164.2
859,1,175.6
860,2,165.3
861,2,160.2
862,2,160.4
863,2,156.9
864,1,172.3
865,2,156.6
866,1,172.1
867,2,162.1
868,2,159.2
869,1,175.6
870,2,159.8
871,2,155.4
872,2,155.1
873,1,172.6
874,2,164.6
875,1,161.8
876,2,156.2
877,1,167.7
878,2,158.8
879,1,167.5
880,1,160.4
881,1,165.4
882,2,155.3
883,2,164.7
884,1,173
885,1,157.3
886,2,158.1
887,1,176
888,2,165.1
889,1,170
890,2,161.8
891,2,149.6
892,1,180.2
893,1,169.4
894,2,157.4
895,2,164
896,2,161.5
897,1,174.5
898,2,155.9
899,2,158.6
900,1,157.9
901,2,161.3
902,2,158.5
903,1,168
904,2,159.5
905,1,173.4
906,2,154.4
907,1,175.3
908,2,167.9
909,2,160.1
910,2,159
911,1,170.2
912,2,154.2
913,2,149.2
914,1,176.1
915,2,159.8
916,2,164.1
917,1,184
918,1,164.4
919,2,161.1
920,1,173.4
921,2,162
922,1,171.1
923,2,156.5
924,1,173.4
925,2,166.3
926,2,149.6
927,1,177.1
928,2,157
929,1,170
930,2,158.1
931,1,170.2
932,2,157.2
933,1,177.3
934,2,162.3
935,1,173
936,2,162.1
937,1,160.4
938,2,156.1
939,1,168.2
940,2,159.1
941,2,154.1
942,1,171.9
943,2,153.1
944,2,163
945,1,169.3
946,2,157.7
947,2,152.5
948,2,153.4
949,1,173.5
950,2,148.2
951,2,161
952,1,178
953,2,165
954,1,180
955,2,161.1
956,1,164
957,2,154.5
958,1,169
959,2,155.4
960,2,157.2
961,2,168.2
962,2,163.2
963,2,160.2
964,2,153.5
965,1,170.3
966,2,148.2
967,2,161.3
968,1,169.7
969,2,156.5
970,1,166.2
971,2,170
972,2,162
973,2,160
974,2,150.3
975,1,169.5
976,2,157.8
977,1,172.3
978,2,162.2
979,2,158.8
980,1,170.8
981,2,161.2
982,2,149.1
983,2,163.9
984,1,161.1
985,1,172.4
986,2,159.4
987,1,174.5
988,1,168.2
989,2,153.4
990,2,164.5
991,2,166.2
992,1,172.1
993,1,181.2
994,2,157.7
995,1,163.9
996,2,160.1
997,1,175.3
998,2,153.8
999,1,168
1000,2,147.5
1001,1,166.1
1002,1,168.1
1003,1,165.8
1004,2,160
1005,1,176.2
1006,2,160.2
1007,2,159.4
1008,1,165.1
1009,2,157.6
1010,2,157.7
1011,2,157.4
1012,1,167.1
1013,2,158.2
1014,1,170.1
1015,1,181.4
1016,2,155.3
1017,1,174.2
1018,2,154.9
1019,1,172
1020,2,159.3
1021,1,166.2
1022,2,148.7
1023,1,175.1
1024,2,155.4
1025,1,160.3
1026,2,163
1027,1,181.9
1028,2,153.7
1029,1,181.4
1030,1,168
1031,2,160.1
1032,1,168.2
1033,2,155.6
1034,2,163.2
1035,1,172.8
1036,1,172.5
1037,1,177.6
1038,2,156.2
1039,1,164.8
1040,2,158.1
1041,1,165.3
1042,2,161.4
1043,1,173
1044,2,152.3
1045,1,166.5
1046,1,173.3
1047,2,164.8
1048,2,158.3
1049,1,167.8
1050,2,159.9
1051,1,165.8
1052,2,154.5
1053,1,169
1054,2,160
1055,1,173
1056,1,176.5
1057,2,169.3
1058,1,173
1059,2,160
1060,1,173.9
1061,2,169.3
1062,1,174.5
1063,1,172.8
1064,2,165.5
1065,1,175
1066,2,161.2
1067,1,174
1068,2,155.3
1069,1,169.5
1070,2,148.4
1071,2,162.4
1072,1,178.2
1073,2,156.4
1074,1,182.5
1075,1,172.6
1076,2,152.5
1077,2,159.8
1078,1,167.6
1079,2,149.3
1080,1,173.7
1081,2,161.8
1082,1,167.5
1083,2,145.5
1084,1,170.4
1085,2,154.5
1086,1,171.1
1087,2,153.4
1088,1,169.7
1089,2,159.3
1090,1,167.3
1091,2,156.3
1092,1,163.2
1093,2,159.6
1094,1,173.8
1095,2,166.3
1096,1,162.9
1097,1,172.5
1098,2,153.4
1099,1,164.6
1100,1,157.1
1101,2,157
1102,1,163.2
1103,2,152.7
1104,2,153.1
1105,2,148.3
1106,2,158.4
1107,1,169.1
1108,2,158
1109,1,171.9
1110,2,157.2
1111,1,161.6
1112,2,166.1
1113,1,168.3
1114,2,152.5
1115,1,170.6
1116,2,151.9
1117,1,168.5
1118,2,145.9
1119,1,165.8
1120,2,148.5
1121,1,158.1
1122,2,151.9
1123,1,165
1124,2,158.6
1125,2,157.5
1126,1,170.2
1127,1,162.5
1128,2,164.5
1129,2,148
1130,1,166.8
1131,2,154.3
1132,1,161.5
1133,2,153.9
1134,1,164.4
1135,2,149.2
1136,2,149
1137,1,162.5
1138,1,170.7
1139,1,170.7
1140,2,161.7
1141,1,168.4
1142,2,154.6
1143,1,163.3
1144,2,149.8
1145,2,150.7
1146,1,163.7
1147,2,167.2
1148,2,155
1149,1,164.9
1150,2,148.6
1151,1,165.8
1152,2,155
1153,2,157.8
1154,1,166.3
1155,2,159.6
1156,1,170.4
1157,2,159.3
1158,1,170
1159,2,165.6
1160,1,172.4
1161,2,147.7
1162,1,162.2
1163,2,146.5
1164,2,166.7
1165,2,163.2
1166,1,170.6
1167,2,161.9
1168,2,160.2
1169,1,174.5
1170,2,165.1
1171,1,166.2
1172,2,166.3
1173,1,170.7
1174,2,143.6
1175,1,168.1
1176,2,154.2
1177,1,161.5
1178,2,163.7
1179,2,159.4
1180,2,155.2
1181,1,159
1182,1,172.1
1183,2,157.8
1184,1,170.3
1185,2,150.1
1186,1,172.9
1187,2,152.8
1188,1,156.5
1189,2,153.9
1190,1,165
1191,1,169.6
1192,2,159.8
1193,1,168.5
1194,2,153.5
1195,1,162.3
1196,2,143.3
1197,1,166.2
1198,2,155.7
1199,1,177.3
1200,1,174.1
1201,2,160.1
1202,1,164.1
1203,2,146.3
1204,1,167.9
1205,2,161.2
1206,1,173.3
1207,2,158.6
1208,1,175.6
1209,2,156.4
1210,2,149.4
1211,2,152.5
1212,1,173.4
1213,2,159.3
1214,1,173.6
1215,2,160.2
1216,1,174.6
1217,2,161.5
1218,2,147.7
1219,2,157.5
1220,1,173.5
1221,1,165.1
1222,1,168.5
1223,2,151
1224,2,147.6
1225,1,162.6
1226,2,153
1227,1,172.5
1228,2,152.2
1229,1,171.3
1230,1,159
1231,2,154.1
1232,1,170.1
1233,2,153.4
1234,1,169
1235,2,159.8
1236,1,167.8
1237,1,164.7
1238,2,147.2
1239,2,157.3
1240,2,157.8
1241,2,150.1
1242,1,175.1
1243,1,170.8
1244,2,150.1
1245,1,171
1246,2,157.8
1247,1,172.3
1248,2,162.7
1249,1,167.1
1250,2,157.5
1251,1,166.1
1252,1,171.1
1253,2,168.8
1254,2,148.9
1255,1,163.1
1256,1,164.3
1257,2,150.9
1258,1,159.8
1259,1,170.1
1260,2,157.2
1261,1,174.8
1262,2,165.9
